sgRNA	Gene	Day0	Day23
s_57886	TMLHE	1299.43250482	1252.39217397
s_23697	GPR137B	1330.96685013	1419.31631497
s_28635	KCNH5	1427.74466848	1174.92461681
s_20511	FBXO2	293.595628705	139.25715631
s_60406	UCN2	728.552115675	920.388357599
s_27463	ING1	2081.26679015	2500.17318382
s_64074	ZNF519	672.007772369	833.698472214
s_58139	TNFSF11	2229.15199572	1995.7118295
s_8609	CA9	570.880389149	340.303911778
s_43965	PRDX5	802.49471846	620.662690044
s_7316	C1orf5	255.536936095	365.204198005
s_12959	COL4A5	3431.8066822	3557.05199926
s_46971	RFX8	395.810403143	546.884064185
s_25342	HIRA	2228.06460451	2567.49617992
s_5858	BSPRY	294.683019922	384.571087293
s_46918	RFPL4A	1540.83335509	1504.16173471
s_47220	RHOD	270.760413139	207.50238523
s_15039	DBNDD1	1365.76336909	1434.99427297
s_29360	KIAA196	1491.90075031	1858.29913884
s_28741	KCNK15	880.786886115	964.655533115
s_16412	DNAJC11	923.195143595	417.77146893
s_35867	N4BP2	1300.51989604	1403.63835698
s_43052	POLR2A	669.832989934	139.25715631
s_16471	DNAJC4	1024.32252682	1258.84780373
s_50995	SLC12A5	784.009067764	552.417461124
s_62035	WLS	2006.23679615	1940.37786011
s_4691	AWAT1	271.847804357	270.214217211
s_12212	CLEC10A	913.408622638	1149.10209776
s_3143	AQP6	513.248654625	302.492366025
s_20608	FBXO6	556.744303322	444.516220804
s_29901	KLK	988.43861664	1031.97852921
s_50581	SHISA3	147.88520557	224.102576049
s_33091	MC4R	570.880389149	639.107346509
s_10167	CCSA	1600.63987205	1719.96421535
s_1425	AFF	1459.27901379	1528.13978812
s_52167	SLC6A	2392.26067834	2896.73329781
s_9194	CASP10	1870.31289397	2000.32299362
s_12731	CNR	332.741712532	482.327766557
s_31596	LRR1	456.704311319	598.529102286
s_63748	ZNF354C	1081.95426134	897.332537018
s_32698	MAP7	121.787816352	106.979007496
s_44654	PSG8	3743.8879616	5091.64741714
s_36305	NCOA2	1726.77725327	2614.5300539
s_19526	FAM162A	1389.68597587	1774.37595192
s_41412	PFKFB3	1097.17773838	997.855914752
s_30806	LENG8	327.304756445	128.190362431
s_48497	RSAD2	1763.74855467	1589.92938728
s_43513	PPP1CC	1656.09682414	1639.72995973
s_39892	P2RX2	2027.9846205	1692.29723066
s_24260	GSDM	582.84169254	914.85496066
s_42294	PLA2G5	992.78818151	1069.79007496
s_41361	PEX5	1005.83687612	1188.75810916
s_61198	VDAC3	486.063874189	442.671755158
s_34197	MMP13	308.819105749	286.814408029
s_61849	WDR78	1130.88686612	1118.6684146
s_56392	TGM4	918.845578725	907.477098074
s_22589	GEMIN2	2676.06978609	3172.48091196
s_51104	SLC16A	155.496944092	88.5343510316
s_59563	TTC28	494.763003929	341.226144601
s_57499	TMEM21	302.294758444	483.249999381
s_61678	WDR2	1470.15292596	1441.44990273
s_32895	MARVELD2	2987.06367427	2620.98568366
s_57370	TMEM182	487.151265407	363.359732359
s_61573	WAS	1240.71337908	1493.09494083
s_23124	GLYATL3	271.847804357	402.093510935
s_24717	HARBI1	956.904271335	793.120227991
s_1930	ALDH1L	154.409552875	118.968034199
s_23470	GP1BB	428.432139666	350.448472833
s_32413	MAGED	636.123862194	573.628816059
s_47997	RP3-324N14.2	593.715604715	739.630724243
s_39779	OTUB	644.822991934	904.710399604
s_7262	C1orf226	428.432139666	435.293892572
s_37913	NRF	509.986480973	65.4785304504
s_41549	PGR	1437.53118944	794.042460814
s_6506	C15orf26	310.993888184	167.846373831
s_51268	SLC22A3	528.472131669	573.628816059
s_16078	DLC1	1009.09904977	1113.13501766
s_1553	AGR2	501.287351233	516.450381018
s_54346	STEAP4	582.84169254	535.817270306
s_29315	KIAA1609	347.965189576	364.281965182
s_62120	WNT9A	477.36474445	533.050571836
s_33784	MFSD9	775.309938025	1022.75620098
s_59595	TTC36	428.432139666	387.337785763
s_28709	KCNJ	471.927788363	378.115457531
s_23631	GPR107	2503.17458251	2573.02957686
s_53236	SPACA7	403.422141665	414.082537637
s_44868	PSRC1	558.919085757	371.659827768
s_19197	FAF2	1590.85335109	1105.75715507
